mean_energy_eV,EoverN_Td,Grid type,Maximum energy,Mean energy (eV),Mobility *N (1/m/V/s),Diffusion coefficient *N (1/m/s),Energy mobility *N (1/m/V/s),Energy diffusion coef. *N (1/m/s),Total collision freq. /N (m3/s),Momentum frequency /N (m3/s),Total ionization freq. /N (m3/s),Townsend ioniz. coef. alpha/N (m2),Power /N (eV m3/s),Elastic power loss /N (eV m3/s),Inelastic power loss /N (eV m3/s),Growth power /N (eV m3/s),Maximum energy #17,# of iterations,# of grid trials,Error code,Inelastic energy loss coefficient (eV m3/s)
10.2604,476.149,3.0,156.006,10.2604,6.69042e+23,6.17294e+24,1.02342e+24,6.56132e+24,1.99364e-13,2.62886e-13,3.73132e-15,1.1713e-20,1.51684e-13,7.09287e-17,1.13328e-13,3.83062e-14,181.842,13.0,2.0,-1.0,1.13333e-13
10.6991,524.851,3.0,181.842,10.6991,6.59126e+23,6.19059e+24,1.0185e+24,6.801e+24,2.03332e-13,2.66841e-13,4.53127e-15,1.30983e-20,1.81569e-13,7.4821e-17,1.33014e-13,4.85065e-14,181.842,7.0,1.0,-1.0,1.3302e-13
11.1681,575.93,3.0,181.842,11.1681,6.50157e+23,6.22819e+24,1.01455e+24,7.07787e+24,2.07191e-13,2.70522e-13,5.43849e-15,1.45241e-20,2.15654e-13,7.89141e-17,1.54838e-13,6.07739e-14,211.924,13.0,2.0,-1.0,1.54846e-13
11.6671,629.384,3.0,211.924,11.6671,6.41746e+23,6.28104e+24,1.01109e+24,7.38969e+24,2.10891e-13,2.74068e-13,6.45586e-15,1.59836e-20,2.54211e-13,8.31904e-17,1.78805e-13,7.53718e-14,246.947,15.0,2.0,-1.0,1.78814e-13
12.2021,685.214,3.0,246.947,12.2021,6.34339e+23,6.3565e+24,1.00856e+24,7.74461e+24,2.14462e-13,2.77268e-13,7.59262e-15,1.7468e-20,2.97834e-13,8.76862e-17,2.05097e-13,9.27053e-14,246.947,8.0,1.0,-1.0,2.05108e-13
12.7745,743.42,3.0,246.947,12.7745,6.27684e+23,6.45229e+24,1.00694e+24,8.14715e+24,2.17871e-13,2.80208e-13,8.85204e-15,1.89701e-20,3.46904e-13,9.24147e-17,2.33726e-13,1.13162e-13,287.725,15.0,2.0,-1.0,2.33738e-13
13.3861,804.001,3.0,287.725,13.3861,6.21363e+23,6.57077e+24,1.00511e+24,8.59103e+24,2.21139e-13,2.83058e-13,1.02314e-14,2.04801e-20,4.0166e-13,9.73818e-17,2.64599e-13,1.37069e-13,335.202,16.0,2.0,-1.0,2.64614e-13
14.0422,866.958,3.0,335.202,14.0422,6.15718e+23,6.71415e+24,1.00354e+24,9.08275e+24,2.24268e-13,2.85654e-13,1.17374e-14,2.19884e-20,4.62784e-13,1.02622e-16,2.97852e-13,1.64968e-13,390.481,15.0,2.0,-1.0,2.97869e-13
14.7433,932.291,3.0,390.481,14.7433,6.10514e+23,6.87874e+24,1.00217e+24,9.62204e+24,2.2722e-13,2.88089e-13,1.33695e-14,2.34892e-20,5.30638e-13,1.08117e-16,3.33409e-13,1.97279e-13,390.481,8.0,1.0,-1.0,3.3343e-13
15.4923,1000.0,3.0,390.481,15.4923,6.05604e+23,7.06628e+24,1.00064e+24,1.02092e+25,2.30016e-13,2.90424e-13,1.51239e-14,2.49733e-20,6.05604e-13,1.1391e-16,3.71181e-13,2.34528e-13,454.841,16.0,2.0,-1.0,3.71204e-13
