process,mean_energy_eV,energy_loss_coeff_eV_m3_s,EoverN_Td
C14 Ar Excitation 13.33 eV,6.56248,4.20391e-17,77.0238
C14 Ar Excitation 13.33 eV,6.80014,6.15617e-17,97.2176
C14 Ar Excitation 13.33 eV,7.04422,8.45014e-17,119.787
C14 Ar Excitation 13.33 eV,7.29691,1.10609e-16,144.732
C14 Ar Excitation 13.33 eV,7.56043,1.39611e-16,172.054
C14 Ar Excitation 13.33 eV,7.83628,1.71193e-16,201.75
C14 Ar Excitation 13.33 eV,8.12637,2.05092e-16,233.823
C14 Ar Excitation 13.33 eV,8.43263,2.41039e-16,268.271
C14 Ar Excitation 13.33 eV,8.756,2.78812e-16,305.095
C14 Ar Excitation 13.33 eV,9.09866,3.18143e-16,344.295
C14 Ar Excitation 13.33 eV,9.46271,3.58839e-16,385.87
C14 Ar Excitation 13.33 eV,9.84924,4.00559e-16,429.822
C14 Ar Excitation 13.33 eV,10.2604,4.43091e-16,476.149
C14 Ar Excitation 13.33 eV,10.6991,4.86296e-16,524.851
C14 Ar Excitation 13.33 eV,11.1681,5.29878e-16,575.93
C14 Ar Excitation 13.33 eV,11.6671,5.73326e-16,629.384
C14 Ar Excitation 13.33 eV,12.2021,6.16772e-16,685.214
C14 Ar Excitation 13.33 eV,12.7745,6.59696e-16,743.42
C14 Ar Excitation 13.33 eV,13.3861,7.01736e-16,804.001
C14 Ar Excitation 13.33 eV,14.0422,7.43027e-16,866.958
C14 Ar Excitation 13.33 eV,14.7433,7.82933e-16,932.291
C14 Ar Excitation 13.33 eV,15.4923,8.21348e-16,1000.0
C15 Ar Excitation 13.48 eV,2.4075,-4.80654e-241,1.0
C15 Ar Excitation 13.48 eV,3.52837,1.28531e-30,2.18787
C15 Ar Excitation 13.48 eV,5.08509,3.82344e-21,5.75149
C15 Ar Excitation 13.48 eV,5.39609,5.22422e-19,11.6908
C15 Ar Excitation 13.48 eV,5.62479,4.74894e-18,20.0059
C15 Ar Excitation 13.48 eV,5.85972,1.76784e-17,30.6968
C15 Ar Excitation 13.48 eV,6.09482,4.32771e-17,43.7634
C15 Ar Excitation 13.48 eV,6.32848,8.37978e-17,59.2057
C15 Ar Excitation 13.48 eV,6.56248,1.4027e-16,77.0238
C15 Ar Excitation 13.48 eV,6.80014,2.13122e-16,97.2176
C15 Ar Excitation 13.48 eV,7.04422,3.0243e-16,119.787
C15 Ar Excitation 13.48 eV,7.29691,4.08229e-16,144.732
C15 Ar Excitation 13.48 eV,7.56043,5.30363e-16,172.054
C15 Ar Excitation 13.48 eV,7.83628,6.68444e-16,201.75
C15 Ar Excitation 13.48 eV,8.12637,8.22197e-16,233.823
C15 Ar Excitation 13.48 eV,8.43263,9.91254e-16,268.271
C15 Ar Excitation 13.48 eV,8.756,1.17539e-15,305.095
C15 Ar Excitation 13.48 eV,9.09866,1.37414e-15,344.295
C15 Ar Excitation 13.48 eV,9.46271,1.58728e-15,385.87
C15 Ar Excitation 13.48 eV,9.84924,1.8139e-15,429.822
C15 Ar Excitation 13.48 eV,10.2604,2.05361e-15,476.149
C15 Ar Excitation 13.48 eV,10.6991,2.3063e-15,524.851
C15 Ar Excitation 13.48 eV,11.1681,2.57109e-15,575.93
C15 Ar Excitation 13.48 eV,11.6671,2.84595e-15,629.384
C15 Ar Excitation 13.48 eV,12.2021,3.13193e-15,685.214
C15 Ar Excitation 13.48 eV,12.7745,3.42691e-15,743.42
C15 Ar Excitation 13.48 eV,13.3861,3.72885e-15,804.001
C15 Ar Excitation 13.48 eV,14.0422,4.03846e-15,866.958
C15 Ar Excitation 13.48 eV,14.7433,4.35278e-15,932.291
C15 Ar Excitation 13.48 eV,15.4923,4.67055e-15,1000.0
C16 Ar Excitation 13.84 eV,2.4075,-1.03626e-246,1.0
C16 Ar Excitation 13.84 eV,3.52837,5.33049e-32,2.18787
C16 Ar Excitation 13.84 eV,5.08509,2.34944e-21,5.75149
C16 Ar Excitation 13.84 eV,5.39609,7.06607e-19,11.6908
C16 Ar Excitation 13.84 eV,5.62479,8.76294e-18,20.0059
C16 Ar Excitation 13.84 eV,5.85972,3.75848e-17,30.6968
C16 Ar Excitation 13.84 eV,6.09482,9.84107e-17,43.7634
C16 Ar Excitation 13.84 eV,6.32848,1.96307e-16,59.2057
C16 Ar Excitation 13.84 eV,6.56248,3.31505e-16,77.0238
C16 Ar Excitation 13.84 eV,6.80014,5.0172e-16,97.2176
C16 Ar Excitation 13.84 eV,7.04422,7.03452e-16,119.787
C16 Ar Excitation 13.84 eV,7.29691,9.3313e-16,144.732
C16 Ar Excitation 13.84 eV,7.56043,1.18689e-15,172.054
C16 Ar Excitation 13.84 eV,7.83628,1.46064e-15,201.75
C16 Ar Excitation 13.84 eV,8.12637,1.75087e-15,233.823
C16 Ar Excitation 13.84 eV,8.43263,2.05414e-15,268.271
C16 Ar Excitation 13.84 eV,8.756,2.36766e-15,305.095
C16 Ar Excitation 13.84 eV,9.09866,2.68835e-15,344.295
C16 Ar Excitation 13.84 eV,9.46271,3.01394e-15,385.87
C16 Ar Excitation 13.84 eV,9.84924,3.34105e-15,429.822
C16 Ar Excitation 13.84 eV,10.2604,3.66751e-15,476.149
C16 Ar Excitation 13.84 eV,10.6991,3.9919e-15,524.851
C16 Ar Excitation 13.84 eV,11.1681,4.31157e-15,575.93
C16 Ar Excitation 13.84 eV,11.6671,4.62222e-15,629.384
C16 Ar Excitation 13.84 eV,12.2021,4.92498e-15,685.214
C16 Ar Excitation 13.84 eV,12.7745,5.2156e-15,743.42
C16 Ar Excitation 13.84 eV,13.3861,5.49153e-15,804.001
C16 Ar Excitation 13.84 eV,14.0422,5.75428e-15,866.958
C16 Ar Excitation 13.84 eV,14.7433,5.9989e-15,932.291
C16 Ar Excitation 13.84 eV,15.4923,6.22546e-15,1000.0
C17 Ar Excitation 13.86 eV,2.4075,-7.81483e-250,1.0
C17 Ar Excitation 13.86 eV,3.52837,3.09654e-36,2.18787
C17 Ar Excitation 13.86 eV,5.08509,3.61524e-25,5.75149
C17 Ar Excitation 13.86 eV,5.39609,2.07279e-22,11.6908
C17 Ar Excitation 13.86 eV,5.62479,4.06909e-21,20.0059
C17 Ar Excitation 13.86 eV,5.85972,2.46831e-20,30.6968
C17 Ar Excitation 13.86 eV,6.09482,8.53394e-20,43.7634
C17 Ar Excitation 13.86 eV,6.32848,2.14989e-19,59.2057
C17 Ar Excitation 13.86 eV,6.56248,4.44736e-19,77.0238
C17 Ar Excitation 13.86 eV,6.80014,8.0625e-19,97.2176
C17 Ar Excitation 13.86 eV,7.04422,1.33061e-18,119.787
C17 Ar Excitation 13.86 eV,7.29691,2.04897e-18,144.732
C17 Ar Excitation 13.86 eV,7.56043,2.99154e-18,172.054
C17 Ar Excitation 13.86 eV,7.83628,4.18685e-18,201.75
C17 Ar Excitation 13.86 eV,8.12637,5.66347e-18,233.823
C17 Ar Excitation 13.86 eV,8.43263,7.44917e-18,268.271
C17 Ar Excitation 13.86 eV,8.756,9.5726e-18,305.095
C17 Ar Excitation 13.86 eV,9.09866,1.20601e-17,344.295
C17 Ar Excitation 13.86 eV,9.46271,1.494e-17,385.87
C17 Ar Excitation 13.86 eV,9.84924,1.82343e-17,429.822
C17 Ar Excitation 13.86 eV,10.2604,2.1969e-17,476.149
C17 Ar Excitation 13.86 eV,10.6991,2.61725e-17,524.851
C17 Ar Excitation 13.86 eV,11.1681,3.08651e-17,575.93
C17 Ar Excitation 13.86 eV,11.6671,3.60514e-17,629.384
C17 Ar Excitation 13.86 eV,12.2021,4.17718e-17,685.214
C17 Ar Excitation 13.86 eV,12.7745,4.80312e-17,743.42
C17 Ar Excitation 13.86 eV,13.3861,5.48106e-17,804.001
C17 Ar Excitation 13.86 eV,14.0422,6.21373e-17,866.958
C17 Ar Excitation 13.86 eV,14.7433,6.99963e-17,932.291
C17 Ar Excitation 13.86 eV,15.4923,7.83637e-17,1000.0
C18 Ar Excitation 13.90 eV,2.4075,-9.97619e-248,1.0
C18 Ar Excitation 13.90 eV,3.52837,2.27292e-32,2.18787
C18 Ar Excitation 13.90 eV,5.08509,1.60633e-21,5.75149
C18 Ar Excitation 13.90 eV,5.39609,5.59618e-19,11.6908
C18 Ar Excitation 13.90 eV,5.62479,7.38528e-18,20.0059
C18 Ar Excitation 13.90 eV,5.85972,3.27096e-17,30.6968
C18 Ar Excitation 13.90 eV,6.09482,8.72841e-17,43.7634
C18 Ar Excitation 13.90 eV,6.32848,1.76269e-16,59.2057
C18 Ar Excitation 13.90 eV,6.56248,3.00241e-16,77.0238
C18 Ar Excitation 13.90 eV,6.80014,4.57291e-16,97.2176
C18 Ar Excitation 13.90 eV,7.04422,6.44272e-16,119.787
C18 Ar Excitation 13.90 eV,7.29691,8.57907e-16,144.732
C18 Ar Excitation 13.90 eV,7.56043,1.0946e-15,172.054
C18 Ar Excitation 13.90 eV,7.83628,1.35052e-15,201.75
C18 Ar Excitation 13.90 eV,8.12637,1.62236e-15,233.823
C18 Ar Excitation 13.90 eV,8.43263,1.90687e-15,268.271
C18 Ar Excitation 13.90 eV,8.756,2.2014e-15,305.095
C18 Ar Excitation 13.90 eV,9.09866,2.50305e-15,344.295
C18 Ar Excitation 13.90 eV,9.46271,2.80963e-15,385.87
C18 Ar Excitation 13.90 eV,9.84924,3.11795e-15,429.822
C18 Ar Excitation 13.90 eV,10.2604,3.42593e-15,476.149
C18 Ar Excitation 13.90 eV,10.6991,3.73223e-15,524.851
C18 Ar Excitation 13.90 eV,11.1681,4.03431e-15,575.93
C18 Ar Excitation 13.90 eV,11.6671,4.32814e-15,629.384
C18 Ar Excitation 13.90 eV,12.2021,4.61473e-15,685.214
C18 Ar Excitation 13.90 eV,12.7745,4.89006e-15,743.42
C18 Ar Excitation 13.90 eV,13.3861,5.15171e-15,804.001
C18 Ar Excitation 13.90 eV,14.0422,5.40106e-15,866.958
C18 Ar Excitation 13.90 eV,14.7433,5.63345e-15,932.291
C18 Ar Excitation 13.90 eV,15.4923,5.8489e-15,1000.0
C19 Ar Excitation 13.98 eV,2.4075,-4.25089e-249,1.0
C19 Ar Excitation 13.98 eV,3.52837,6.42822e-33,2.18787
C19 Ar Excitation 13.98 eV,5.08509,8.48113e-22,5.75149
C19 Ar Excitation 13.98 eV,5.39609,3.5895e-19,11.6908
C19 Ar Excitation 13.98 eV,5.62479,5.14114e-18,20.0059
C19 Ar Excitation 13.98 eV,5.85972,2.37452e-17,30.6968
C19 Ar Excitation 13.98 eV,6.09482,6.49444e-17,43.7634
C19 Ar Excitation 13.98 eV,6.32848,1.33269e-16,59.2057
C19 Ar Excitation 13.98 eV,6.56248,2.29547e-16,77.0238
C19 Ar Excitation 13.98 eV,6.80014,3.52506e-16,97.2176
C19 Ar Excitation 13.98 eV,7.04422,4.99775e-16,119.787
C19 Ar Excitation 13.98 eV,7.29691,6.68811e-16,144.732
C19 Ar Excitation 13.98 eV,7.56043,8.56769e-16,172.054
C19 Ar Excitation 13.98 eV,7.83628,1.06059e-15,201.75
C19 Ar Excitation 13.98 eV,8.12637,1.27761e-15,233.823
C19 Ar Excitation 13.98 eV,8.43263,1.50522e-15,268.271
C19 Ar Excitation 13.98 eV,8.756,1.74124e-15,305.095
C19 Ar Excitation 13.98 eV,9.09866,1.98333e-15,344.295
C19 Ar Excitation 13.98 eV,9.46271,2.22972e-15,385.87
C19 Ar Excitation 13.98 eV,9.84924,2.4778e-15,429.822
C19 Ar Excitation 13.98 eV,10.2604,2.7259e-15,476.149
C19 Ar Excitation 13.98 eV,10.6991,2.97291e-15,524.851
C19 Ar Excitation 13.98 eV,11.1681,3.21677e-15,575.93
C19 Ar Excitation 13.98 eV,11.6671,3.45424e-15,629.384
C19 Ar Excitation 13.98 eV,12.2021,3.68609e-15,685.214
C19 Ar Excitation 13.98 eV,12.7745,3.90906e-15,743.42
C19 Ar Excitation 13.98 eV,13.3861,4.12124e-15,804.001
C19 Ar Excitation 13.98 eV,14.0422,4.32362e-15,866.958
C19 Ar Excitation 13.98 eV,14.7433,4.51252e-15,932.291
C19 Ar Excitation 13.98 eV,15.4923,4.68788e-15,1000.0
C20 Ar Excitation 14.02 eV,2.4075,-2.88048e-250,1.0
C20 Ar Excitation 14.02 eV,3.52837,1.02915e-33,2.18787
C20 Ar Excitation 14.02 eV,5.08509,1.93224e-22,5.75149
C20 Ar Excitation 14.02 eV,5.39609,9.26485e-20,11.6908
C20 Ar Excitation 14.02 eV,5.62479,1.41573e-18,20.0059
C20 Ar Excitation 14.02 eV,5.85972,6.82882e-18,30.6968
C20 Ar Excitation 14.02 eV,6.09482,1.93215e-17,43.7634
C20 Ar Excitation 14.02 eV,6.32848,4.08123e-17,59.2057
C20 Ar Excitation 14.02 eV,6.56248,7.21465e-17,77.0238
C20 Ar Excitation 14.02 eV,6.80014,1.13486e-16,97.2176
C20 Ar Excitation 14.02 eV,7.04422,1.6457e-16,119.787
C20 Ar Excitation 14.02 eV,7.29691,2.25008e-16,144.732
C20 Ar Excitation 14.02 eV,7.56043,2.94228e-16,172.054
C20 Ar Excitation 14.02 eV,7.83628,3.7151e-16,201.75
C20 Ar Excitation 14.02 eV,8.12637,4.56191e-16,233.823
C20 Ar Excitation 14.02 eV,8.43263,5.47566e-16,268.271
C20 Ar Excitation 14.02 eV,8.756,6.45022e-16,305.095
C20 Ar Excitation 14.02 eV,9.09866,7.47844e-16,344.295
C20 Ar Excitation 14.02 eV,9.46271,8.55465e-16,385.87
C20 Ar Excitation 14.02 eV,9.84924,9.66959e-16,429.822
C20 Ar Excitation 14.02 eV,10.2604,1.08172e-15,476.149
C20 Ar Excitation 14.02 eV,10.6991,1.19934e-15,524.851
C20 Ar Excitation 14.02 eV,11.1681,1.31896e-15,575.93
C20 Ar Excitation 14.02 eV,11.6671,1.43926e-15,629.384
C20 Ar Excitation 14.02 eV,12.2021,1.56046e-15,685.214
C20 Ar Excitation 14.02 eV,12.7745,1.68116e-15,743.42
C20 Ar Excitation 14.02 eV,13.3861,1.80032e-15,804.001
C20 Ar Excitation 14.02 eV,14.0422,1.91815e-15,866.958
C20 Ar Excitation 14.02 eV,14.7433,2.03298e-15,932.291
C20 Ar Excitation 14.02 eV,15.4923,2.14436e-15,1000.0
C21 Ar Excitation 14.06 eV,2.4075,-6.50585e-251,1.0
C21 Ar Excitation 14.06 eV,3.52837,6.9865e-34,2.18787
C21 Ar Excitation 14.06 eV,5.08509,1.92352e-22,5.75149
C21 Ar Excitation 14.06 eV,5.39609,1.03946e-19,11.6908
C21 Ar Excitation 14.06 eV,5.62479,1.66938e-18,20.0059
C21 Ar Excitation 14.06 eV,5.85972,8.25889e-18,30.6968
C21 Ar Excitation 14.06 eV,6.09482,2.37163e-17,43.7634
C21 Ar Excitation 14.06 eV,6.32848,5.0576e-17,59.2057
C21 Ar Excitation 14.06 eV,6.56248,9.00015e-17,77.0238
C21 Ar Excitation 14.06 eV,6.80014,1.42263e-16,97.2176
C21 Ar Excitation 14.06 eV,7.04422,2.07072e-16,119.787
C21 Ar Excitation 14.06 eV,7.29691,2.83952e-16,144.732
C21 Ar Excitation 14.06 eV,7.56043,3.7219e-16,172.054
C21 Ar Excitation 14.06 eV,7.83628,4.70875e-16,201.75
C21 Ar Excitation 14.06 eV,8.12637,5.7916e-16,233.823
C21 Ar Excitation 14.06 eV,8.43263,6.96142e-16,268.271
C21 Ar Excitation 14.06 eV,8.756,8.21031e-16,305.095
C21 Ar Excitation 14.06 eV,9.09866,9.52913e-16,344.295
C21 Ar Excitation 14.06 eV,9.46271,1.09105e-15,385.87
C21 Ar Excitation 14.06 eV,9.84924,1.23426e-15,429.822
C21 Ar Excitation 14.06 eV,10.2604,1.38175e-15,476.149
C21 Ar Excitation 14.06 eV,10.6991,1.53299e-15,524.851
C21 Ar Excitation 14.06 eV,11.1681,1.6869e-15,575.93
C21 Ar Excitation 14.06 eV,11.6671,1.84176e-15,629.384
C21 Ar Excitation 14.06 eV,12.2021,1.99786e-15,685.214
C21 Ar Excitation 14.06 eV,12.7745,2.15338e-15,743.42
C21 Ar Excitation 14.06 eV,13.3861,2.307e-15,804.001
C21 Ar Excitation 14.06 eV,14.0422,2.45895e-15,866.958
C21 Ar Excitation 14.06 eV,14.7433,2.60712e-15,932.291
C21 Ar Excitation 14.06 eV,15.4923,2.75091e-15,1000.0
C22 Ar Excitation 14.09 eV,2.4075,-3.153e-252,1.0
C22 Ar Excitation 14.09 eV,3.52837,3.37191e-36,2.18787
C22 Ar Excitation 14.09 eV,5.08509,2.52215e-24,5.75149
C22 Ar Excitation 14.09 eV,5.39609,2.63417e-21,11.6908
C22 Ar Excitation 14.09 eV,5.62479,6.66398e-20,20.0059
C22 Ar Excitation 14.09 eV,5.85972,4.60633e-19,30.6968
C22 Ar Excitation 14.09 eV,6.09482,1.72191e-18,43.7634
C22 Ar Excitation 14.09 eV,6.32848,4.5674e-18,59.2057
C22 Ar Excitation 14.09 eV,6.56248,9.79992e-18,77.0238
C22 Ar Excitation 14.09 eV,6.80014,1.82554e-17,97.2176
C22 Ar Excitation 14.09 eV,7.04422,3.07659e-17,119.787
C22 Ar Excitation 14.09 eV,7.29691,4.81709e-17,144.732
C22 Ar Excitation 14.09 eV,7.56043,7.12901e-17,172.054
C22 Ar Excitation 14.09 eV,7.83628,1.00905e-16,201.75
C22 Ar Excitation 14.09 eV,8.12637,1.37797e-16,233.823
C22 Ar Excitation 14.09 eV,8.43263,1.82727e-16,268.271
C22 Ar Excitation 14.09 eV,8.756,2.3648e-16,305.095
C22 Ar Excitation 14.09 eV,9.09866,2.9978e-16,344.295
C22 Ar Excitation 14.09 eV,9.46271,3.73402e-16,385.87
C22 Ar Excitation 14.09 eV,9.84924,4.57958e-16,429.822
C22 Ar Excitation 14.09 eV,10.2604,5.5417e-16,476.149
C22 Ar Excitation 14.09 eV,10.6991,6.62806e-16,524.851
C22 Ar Excitation 14.09 eV,11.1681,7.84438e-16,575.93
C22 Ar Excitation 14.09 eV,11.6671,9.19232e-16,629.384
C22 Ar Excitation 14.09 eV,12.2021,1.06826e-15,685.214
C22 Ar Excitation 14.09 eV,12.7745,1.23171e-15,743.42
C22 Ar Excitation 14.09 eV,13.3861,1.40911e-15,804.001
C22 Ar Excitation 14.09 eV,14.0422,1.60117e-15,866.958
C22 Ar Excitation 14.09 eV,14.7433,1.80756e-15,932.291
C22 Ar Excitation 14.09 eV,15.4923,2.02766e-15,1000.0
C23 Ar Excitation 14.15 eV,2.4075,-5.58175e-253,1.0
C23 Ar Excitation 14.15 eV,3.52837,2.53274e-36,2.18787
C23 Ar Excitation 14.15 eV,5.08509,3.36126e-24,5.75149
C23 Ar Excitation 14.15 eV,5.39609,4.18148e-21,11.6908
C23 Ar Excitation 14.15 eV,5.62479,1.1372e-19,20.0059
C23 Ar Excitation 14.15 eV,5.85972,8.1568e-19,30.6968
C23 Ar Excitation 14.15 eV,6.09482,3.11721e-18,43.7634
C23 Ar Excitation 14.15 eV,6.32848,8.38977e-18,59.2057
C23 Ar Excitation 14.15 eV,6.56248,1.81873e-17,77.0238
C23 Ar Excitation 14.15 eV,6.80014,3.41381e-17,97.2176
C23 Ar Excitation 14.15 eV,7.04422,5.78692e-17,119.787
C23 Ar Excitation 14.15 eV,7.29691,9.10245e-17,144.732
C23 Ar Excitation 14.15 eV,7.56043,1.35213e-16,172.054
C23 Ar Excitation 14.15 eV,7.83628,1.91972e-16,201.75
C23 Ar Excitation 14.15 eV,8.12637,2.6284e-16,233.823
C23 Ar Excitation 14.15 eV,8.43263,3.49317e-16,268.271
C23 Ar Excitation 14.15 eV,8.756,4.52945e-16,305.095
C23 Ar Excitation 14.15 eV,9.09866,5.75154e-16,344.295
C23 Ar Excitation 14.15 eV,9.46271,7.17471e-16,385.87
C23 Ar Excitation 14.15 eV,9.84924,8.81109e-16,429.822
C23 Ar Excitation 14.15 eV,10.2604,1.06749e-15,476.149
C23 Ar Excitation 14.15 eV,10.6991,1.27812e-15,524.851
C23 Ar Excitation 14.15 eV,11.1681,1.51415e-15,575.93
C23 Ar Excitation 14.15 eV,11.6671,1.7759e-15,629.384
C23 Ar Excitation 14.15 eV,12.2021,2.0655e-15,685.214
C23 Ar Excitation 14.15 eV,12.7745,2.38331e-15,743.42
C23 Ar Excitation 14.15 eV,13.3861,2.72842e-15,804.001
C23 Ar Excitation 14.15 eV,14.0422,3.10226e-15,866.958
C23 Ar Excitation 14.15 eV,14.7433,3.50419e-15,932.291
C23 Ar Excitation 14.15 eV,15.4923,3.93299e-15,1000.0
C24 Ar Excitation 14.21 eV,2.4075,-2.89755e-253,1.0
C24 Ar Excitation 14.21 eV,3.52837,1.27816e-34,2.18787
C24 Ar Excitation 14.21 eV,5.08509,1.26641e-22,5.75149
C24 Ar Excitation 14.21 eV,5.39609,1.00888e-19,11.6908
C24 Ar Excitation 14.21 eV,5.62479,1.87999e-18,20.0059
C24 Ar Excitation 14.21 eV,5.85972,9.92769e-18,30.6968
C24 Ar Excitation 14.21 eV,6.09482,2.93719e-17,43.7634
C24 Ar Excitation 14.21 eV,6.32848,6.34195e-17,59.2057
C24 Ar Excitation 14.21 eV,6.56248,1.13177e-16,77.0238
C24 Ar Excitation 14.21 eV,6.80014,1.78383e-16,97.2176
C24 Ar Excitation 14.21 eV,7.04422,2.57977e-16,119.787
C24 Ar Excitation 14.21 eV,7.29691,3.50665e-16,144.732
C24 Ar Excitation 14.21 eV,7.56043,4.54904e-16,172.054
C24 Ar Excitation 14.21 eV,7.83628,5.68999e-16,201.75
C24 Ar Excitation 14.21 eV,8.12637,6.91414e-16,233.823
C24 Ar Excitation 14.21 eV,8.43263,8.2064e-16,268.271
C24 Ar Excitation 14.21 eV,8.756,9.55373e-16,305.095
C24 Ar Excitation 14.21 eV,9.09866,1.09426e-15,344.295
C24 Ar Excitation 14.21 eV,9.46271,1.23623e-15,385.87
C24 Ar Excitation 14.21 eV,9.84924,1.37973e-15,429.822
C24 Ar Excitation 14.21 eV,10.2604,1.52378e-15,476.149
C24 Ar Excitation 14.21 eV,10.6991,1.66768e-15,524.851
C24 Ar Excitation 14.21 eV,11.1681,1.81022e-15,575.93
C24 Ar Excitation 14.21 eV,11.6671,1.94952e-15,629.384
C24 Ar Excitation 14.21 eV,12.2021,2.08595e-15,685.214
C24 Ar Excitation 14.21 eV,12.7745,2.21758e-15,743.42
C24 Ar Excitation 14.21 eV,13.3861,2.34332e-15,804.001
C24 Ar Excitation 14.21 eV,14.0422,2.46362e-15,866.958
C24 Ar Excitation 14.21 eV,14.7433,2.57638e-15,932.291
C24 Ar Excitation 14.21 eV,15.4923,2.68148e-15,1000.0
C25 Ar Excitation 14.24 eV,2.4075,-7.76494e-254,1.0
C25 Ar Excitation 14.24 eV,3.52837,5.08543e-35,2.18787
C25 Ar Excitation 14.24 eV,5.08509,6.25631e-23,5.75149
C25 Ar Excitation 14.24 eV,5.39609,5.41046e-20,11.6908
C25 Ar Excitation 14.24 eV,5.62479,1.05609e-18,20.0059
C25 Ar Excitation 14.24 eV,5.85972,5.76688e-18,30.6968
C25 Ar Excitation 14.24 eV,6.09482,1.7543e-17,43.7634
C25 Ar Excitation 14.24 eV,6.32848,3.8832e-17,59.2057
C25 Ar Excitation 14.24 eV,6.56248,7.09206e-17,77.0238
C25 Ar Excitation 14.24 eV,6.80014,1.14262e-16,97.2176
C25 Ar Excitation 14.24 eV,7.04422,1.68757e-16,119.787
C25 Ar Excitation 14.24 eV,7.29691,2.34087e-16,144.732
C25 Ar Excitation 14.24 eV,7.56043,3.09689e-16,172.054
C25 Ar Excitation 14.24 eV,7.83628,3.94817e-16,201.75
C25 Ar Excitation 14.24 eV,8.12637,4.88746e-16,233.823
C25 Ar Excitation 14.24 eV,8.43263,5.90696e-16,268.271
C25 Ar Excitation 14.24 eV,8.756,6.99966e-16,305.095
C25 Ar Excitation 14.24 eV,9.09866,8.15761e-16,344.295
C25 Ar Excitation 14.24 eV,9.46271,9.37418e-16,385.87
C25 Ar Excitation 14.24 eV,9.84924,1.06389e-15,429.822
C25 Ar Excitation 14.24 eV,10.2604,1.19447e-15,476.149
C25 Ar Excitation 14.24 eV,10.6991,1.32868e-15,524.851
C25 Ar Excitation 14.24 eV,11.1681,1.46555e-15,575.93
C25 Ar Excitation 14.24 eV,11.6671,1.60356e-15,629.384
C25 Ar Excitation 14.24 eV,12.2021,1.74294e-15,685.214
C25 Ar Excitation 14.24 eV,12.7745,1.88207e-15,743.42
C25 Ar Excitation 14.24 eV,13.3861,2.01977e-15,804.001
C25 Ar Excitation 14.24 eV,14.0422,2.15621e-15,866.958
C25 Ar Excitation 14.24 eV,14.7433,2.28952e-15,932.291
C25 Ar Excitation 14.24 eV,15.4923,2.4191e-15,1000.0
C26 Ar Excitation 14.25 eV,2.4075,-2.41351e-255,1.0
C26 Ar Excitation 14.25 eV,3.52837,1.21826e-37,2.18787
C26 Ar Excitation 14.25 eV,5.08509,4.00778e-25,5.75149
C26 Ar Excitation 14.25 eV,5.39609,6.65889e-22,11.6908
C26 Ar Excitation 14.25 eV,5.62479,2.04248e-20,20.0059
C26 Ar Excitation 14.25 eV,5.85972,1.55774e-19,30.6968
C26 Ar Excitation 14.25 eV,6.09482,6.17457e-19,43.7634
C26 Ar Excitation 14.25 eV,6.32848,1.70233e-18,59.2057
C26 Ar Excitation 14.25 eV,6.56248,3.75382e-18,77.0238
C26 Ar Excitation 14.25 eV,6.80014,7.13622e-18,97.2176
C26 Ar Excitation 14.25 eV,7.04422,1.22163e-17,119.787
C26 Ar Excitation 14.25 eV,7.29691,1.93654e-17,144.732
C26 Ar Excitation 14.25 eV,7.56043,2.89482e-17,172.054
C26 Ar Excitation 14.25 eV,7.83628,4.13135e-17,201.75
C26 Ar Excitation 14.25 eV,8.12637,5.68106e-17,233.823
C26 Ar Excitation 14.25 eV,8.43263,7.57806e-17,268.271
C26 Ar Excitation 14.25 eV,8.756,9.85737e-17,305.095
C26 Ar Excitation 14.25 eV,9.09866,1.25516e-16,344.295
C26 Ar Excitation 14.25 eV,9.46271,1.56954e-16,385.87
C26 Ar Excitation 14.25 eV,9.84924,1.93167e-16,429.822
C26 Ar Excitation 14.25 eV,10.2604,2.34479e-16,476.149
C26 Ar Excitation 14.25 eV,10.6991,2.81233e-16,524.851
C26 Ar Excitation 14.25 eV,11.1681,3.3369e-16,575.93
C26 Ar Excitation 14.25 eV,11.6671,3.91936e-16,629.384
C26 Ar Excitation 14.25 eV,12.2021,4.56445e-16,685.214
C26 Ar Excitation 14.25 eV,12.7745,5.27311e-16,743.42
C26 Ar Excitation 14.25 eV,13.3861,6.04337e-16,804.001
C26 Ar Excitation 14.25 eV,14.0422,6.87843e-16,866.958
C26 Ar Excitation 14.25 eV,14.7433,7.77693e-16,932.291
C26 Ar Excitation 14.25 eV,15.4923,8.73623e-16,1000.0
C27 Ar Excitation 14.30 eV,2.4075,-3.18431e-255,1.0
C27 Ar Excitation 14.30 eV,3.52837,5.33212e-37,2.18787
C27 Ar Excitation 14.30 eV,5.08509,2.60089e-24,5.75149
C27 Ar Excitation 14.30 eV,5.39609,4.96276e-21,11.6908
C27 Ar Excitation 14.30 eV,5.62479,1.61336e-19,20.0059
C27 Ar Excitation 14.30 eV,5.85972,1.26748e-18,30.6968
C27 Ar Excitation 14.30 eV,6.09482,5.11351e-18,43.7634
C27 Ar Excitation 14.30 eV,6.32848,1.42625e-17,59.2057
C27 Ar Excitation 14.30 eV,6.56248,3.17076e-17,77.0238
C27 Ar Excitation 14.30 eV,6.80014,6.06412e-17,97.2176
C27 Ar Excitation 14.30 eV,7.04422,1.04288e-16,119.787
C27 Ar Excitation 14.30 eV,7.29691,1.65922e-16,144.732
C27 Ar Excitation 14.30 eV,7.56043,2.48764e-16,172.054
