process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C4 Ar Excitation 11.72 eV,6.09482,6.29338e-18,43.7634
C4 Ar Excitation 11.72 eV,6.32848,8.93548e-18,59.2057
C4 Ar Excitation 11.72 eV,6.56248,1.18123e-17,77.0238
C4 Ar Excitation 11.72 eV,6.80014,1.48642e-17,97.2176
C4 Ar Excitation 11.72 eV,7.04422,1.80438e-17,119.787
C4 Ar Excitation 11.72 eV,7.29691,2.13138e-17,144.732
C4 Ar Excitation 11.72 eV,7.56043,2.46436e-17,172.054
C4 Ar Excitation 11.72 eV,7.83628,2.79993e-17,201.75
C4 Ar Excitation 11.72 eV,8.12637,3.13584e-17,233.823
C4 Ar Excitation 11.72 eV,8.43263,3.47012e-17,268.271
C4 Ar Excitation 11.72 eV,8.756,3.80061e-17,305.095
C4 Ar Excitation 11.72 eV,9.09866,4.12574e-17,344.295
C4 Ar Excitation 11.72 eV,9.46271,4.44439e-17,385.87
C4 Ar Excitation 11.72 eV,9.84924,4.75388e-17,429.822
C4 Ar Excitation 11.72 eV,10.2604,5.05272e-17,476.149
C4 Ar Excitation 11.72 eV,10.6991,5.34042e-17,524.851
C4 Ar Excitation 11.72 eV,11.1681,5.61536e-17,575.93
C4 Ar Excitation 11.72 eV,11.6671,5.87321e-17,629.384
C4 Ar Excitation 11.72 eV,12.2021,6.11585e-17,685.214
C4 Ar Excitation 11.72 eV,12.7745,6.33965e-17,743.42
C4 Ar Excitation 11.72 eV,13.3861,6.54401e-17,804.001
C4 Ar Excitation 11.72 eV,14.0422,6.73065e-17,866.958
C4 Ar Excitation 11.72 eV,14.7433,6.89508e-17,932.291
C4 Ar Excitation 11.72 eV,15.4923,7.03878e-17,1000.0
C5 Ar Excitation 11.83 eV,2.4075,0.0,1.0
C5 Ar Excitation 11.83 eV,3.52837,1.16285e-24,2.18787
C5 Ar Excitation 11.83 eV,5.08509,2.77952e-19,5.75149
C5 Ar Excitation 11.83 eV,5.39609,2.82098e-18,11.6908
C5 Ar Excitation 11.83 eV,5.62479,8.99073e-18,20.0059
C5 Ar Excitation 11.83 eV,5.85972,1.94379e-17,30.6968
C5 Ar Excitation 11.83 eV,6.09482,3.45316e-17,43.7634
C5 Ar Excitation 11.83 eV,6.32848,5.45593e-17,59.2057
C5 Ar Excitation 11.83 eV,6.56248,7.979e-17,77.0238
C5 Ar Excitation 11.83 eV,6.80014,1.10581e-16,97.2176
C5 Ar Excitation 11.83 eV,7.04422,1.47305e-16,119.787
C5 Ar Excitation 11.83 eV,7.29691,1.90392e-16,144.732
C5 Ar Excitation 11.83 eV,7.56043,2.40267e-16,172.054
C5 Ar Excitation 11.83 eV,7.83628,2.97285e-16,201.75
C5 Ar Excitation 11.83 eV,8.12637,3.61874e-16,233.823
C5 Ar Excitation 11.83 eV,8.43263,4.34452e-16,268.271
C5 Ar Excitation 11.83 eV,8.756,5.15473e-16,305.095
C5 Ar Excitation 11.83 eV,9.09866,6.0534e-16,344.295
C5 Ar Excitation 11.83 eV,9.46271,7.04554e-16,385.87
C5 Ar Excitation 11.83 eV,9.84924,8.13332e-16,429.822
C5 Ar Excitation 11.83 eV,10.2604,9.321e-16,476.149
C5 Ar Excitation 11.83 eV,10.6991,1.06141e-15,524.851
C5 Ar Excitation 11.83 eV,11.1681,1.2015e-15,575.93
C5 Ar Excitation 11.83 eV,11.6671,1.35204e-15,629.384
C5 Ar Excitation 11.83 eV,12.2021,1.51408e-15,685.214
C5 Ar Excitation 11.83 eV,12.7745,1.68732e-15,743.42
C5 Ar Excitation 11.83 eV,13.3861,1.87111e-15,804.001
C5 Ar Excitation 11.83 eV,14.0422,2.06621e-15,866.958
C5 Ar Excitation 11.83 eV,14.7433,2.27176e-15,932.291
C5 Ar Excitation 11.83 eV,15.4923,2.48722e-15,1000.0
C6 Ar Excitation 12.91 eV,2.4075,0.0,1.0
C6 Ar Excitation 12.91 eV,3.52837,2.2106e-29,2.18787
C6 Ar Excitation 12.91 eV,5.08509,1.27696e-21,5.75149
C6 Ar Excitation 12.91 eV,5.39609,5.45225e-20,11.6908
C6 Ar Excitation 12.91 eV,5.62479,3.00499e-19,20.0059
C6 Ar Excitation 12.91 eV,5.85972,8.52683e-19,30.6968
C6 Ar Excitation 12.91 eV,6.09482,1.77179e-18,43.7634
C6 Ar Excitation 12.91 eV,6.32848,3.0957e-18,59.2057
C6 Ar Excitation 12.91 eV,6.56248,4.86901e-18,77.0238
C6 Ar Excitation 12.91 eV,6.80014,7.16857e-18,97.2176
C6 Ar Excitation 12.91 eV,7.04422,1.01118e-17,119.787
C6 Ar Excitation 12.91 eV,7.29691,1.38608e-17,144.732
C6 Ar Excitation 12.91 eV,7.56043,1.86075e-17,172.054
C6 Ar Excitation 12.91 eV,7.83628,2.45458e-17,201.75
C6 Ar Excitation 12.91 eV,8.12637,3.18576e-17,233.823
C6 Ar Excitation 12.91 eV,8.43263,4.06794e-17,268.271
C6 Ar Excitation 12.91 eV,8.756,5.1095e-17,305.095
C6 Ar Excitation 12.91 eV,9.09866,6.3108e-17,344.295
C6 Ar Excitation 12.91 eV,9.46271,7.66686e-17,385.87
C6 Ar Excitation 12.91 eV,9.84924,9.16433e-17,429.822
C6 Ar Excitation 12.91 eV,10.2604,1.07871e-16,476.149
C6 Ar Excitation 12.91 eV,10.6991,1.25183e-16,524.851
C6 Ar Excitation 12.91 eV,11.1681,1.43344e-16,575.93
C6 Ar Excitation 12.91 eV,11.6671,1.62082e-16,629.384
C6 Ar Excitation 12.91 eV,12.2021,1.81256e-16,685.214
C6 Ar Excitation 12.91 eV,12.7745,2.0056e-16,743.42
C6 Ar Excitation 12.91 eV,13.3861,2.1975e-16,804.001
C6 Ar Excitation 12.91 eV,14.0422,2.38693e-16,866.958
C6 Ar Excitation 12.91 eV,14.7433,2.57105e-16,932.291
C6 Ar Excitation 12.91 eV,15.4923,2.74776e-16,1000.0
C7 Ar Excitation 13.07 eV,2.4075,0.0,1.0
C7 Ar Excitation 13.07 eV,3.52837,6.84336e-30,2.18787
C7 Ar Excitation 13.07 eV,5.08509,1.03386e-21,5.75149
C7 Ar Excitation 13.07 eV,5.39609,5.81972e-20,11.6908
C7 Ar Excitation 13.07 eV,5.62479,3.6109e-19,20.0059
C7 Ar Excitation 13.07 eV,5.85972,1.09613e-18,30.6968
C7 Ar Excitation 13.07 eV,6.09482,2.38465e-18,43.7634
C7 Ar Excitation 13.07 eV,6.32848,4.32027e-18,59.2057
C7 Ar Excitation 13.07 eV,6.56248,7.02151e-18,77.0238
C7 Ar Excitation 13.07 eV,6.80014,1.06825e-17,97.2176
C7 Ar Excitation 13.07 eV,7.04422,1.55964e-17,119.787
C7 Ar Excitation 13.07 eV,7.29691,2.21661e-17,144.732
C7 Ar Excitation 13.07 eV,7.56043,3.08735e-17,172.054
C7 Ar Excitation 13.07 eV,7.83628,4.22147e-17,201.75
C7 Ar Excitation 13.07 eV,8.12637,5.66558e-17,233.823
C7 Ar Excitation 13.07 eV,8.43263,7.4555e-17,268.271
C7 Ar Excitation 13.07 eV,8.756,9.61398e-17,305.095
C7 Ar Excitation 13.07 eV,9.09866,1.21445e-16,344.295
C7 Ar Excitation 13.07 eV,9.46271,1.50368e-16,385.87
C7 Ar Excitation 13.07 eV,9.84924,1.82619e-16,429.822
C7 Ar Excitation 13.07 eV,10.2604,2.1783e-16,476.149
C7 Ar Excitation 13.07 eV,10.6991,2.55606e-16,524.851
C7 Ar Excitation 13.07 eV,11.1681,2.95405e-16,575.93
C7 Ar Excitation 13.07 eV,11.6671,3.36625e-16,629.384
C7 Ar Excitation 13.07 eV,12.2021,3.78911e-16,685.214
C7 Ar Excitation 13.07 eV,12.7745,4.21576e-16,743.42
C7 Ar Excitation 13.07 eV,13.3861,4.64071e-16,804.001
C7 Ar Excitation 13.07 eV,14.0422,5.06057e-16,866.958
C7 Ar Excitation 13.07 eV,14.7433,5.46915e-16,932.291
C7 Ar Excitation 13.07 eV,15.4923,5.8615e-16,1000.0
C8 Ar Excitation 13.09 eV,2.4075,0.0,1.0
C8 Ar Excitation 13.09 eV,3.52837,3.51305e-30,2.18787
C8 Ar Excitation 13.09 eV,5.08509,7.67343e-22,5.75149
C8 Ar Excitation 13.09 eV,5.39609,4.92932e-20,11.6908
C8 Ar Excitation 13.09 eV,5.62479,3.25363e-19,20.0059
C8 Ar Excitation 13.09 eV,5.85972,1.02027e-18,30.6968
C8 Ar Excitation 13.09 eV,6.09482,2.24982e-18,43.7634
C8 Ar Excitation 13.09 eV,6.32848,4.06403e-18,59.2057
C8 Ar Excitation 13.09 eV,6.56248,6.47508e-18,77.0238
C8 Ar Excitation 13.09 eV,6.80014,9.48211e-18,97.2176
C8 Ar Excitation 13.09 eV,7.04422,1.3077e-17,119.787
C8 Ar Excitation 13.09 eV,7.29691,1.7254e-17,144.732
C8 Ar Excitation 13.09 eV,7.56043,2.20027e-17,172.054
C8 Ar Excitation 13.09 eV,7.83628,2.73047e-17,201.75
C8 Ar Excitation 13.09 eV,8.12637,3.31479e-17,233.823
C8 Ar Excitation 13.09 eV,8.43263,3.95171e-17,268.271
C8 Ar Excitation 13.09 eV,8.756,4.64025e-17,305.095
C8 Ar Excitation 13.09 eV,9.09866,5.37861e-17,344.295
C8 Ar Excitation 13.09 eV,9.46271,6.16596e-17,385.87
C8 Ar Excitation 13.09 eV,9.84924,6.99884e-17,429.822
C8 Ar Excitation 13.09 eV,10.2604,7.87575e-17,476.149
C8 Ar Excitation 13.09 eV,10.6991,8.79628e-17,524.851
C8 Ar Excitation 13.09 eV,11.1681,9.75718e-17,575.93
C8 Ar Excitation 13.09 eV,11.6671,1.07508e-16,629.384
C8 Ar Excitation 13.09 eV,12.2021,1.17813e-16,685.214
C8 Ar Excitation 13.09 eV,12.7745,1.28406e-16,743.42
C8 Ar Excitation 13.09 eV,13.3861,1.39216e-16,804.001
C8 Ar Excitation 13.09 eV,14.0422,1.50271e-16,866.958
C8 Ar Excitation 13.09 eV,14.7433,1.61461e-16,932.291
C8 Ar Excitation 13.09 eV,15.4923,1.72746e-16,1000.0
C9 Ar Excitation 13.15 eV,2.4075,0.0,1.0
