process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C14 Ar Excitation 13.33 eV,6.56248,3.15433e-18,77.0238
C14 Ar Excitation 13.33 eV,6.80014,4.61917e-18,97.2176
C14 Ar Excitation 13.33 eV,7.04422,6.34041e-18,119.787
C14 Ar Excitation 13.33 eV,7.29691,8.29935e-18,144.732
C14 Ar Excitation 13.33 eV,7.56043,1.04754e-17,172.054
C14 Ar Excitation 13.33 eV,7.83628,1.28451e-17,201.75
C14 Ar Excitation 13.33 eV,8.12637,1.53887e-17,233.823
C14 Ar Excitation 13.33 eV,8.43263,1.80858e-17,268.271
C14 Ar Excitation 13.33 eV,8.756,2.092e-17,305.095
C14 Ar Excitation 13.33 eV,9.09866,2.38711e-17,344.295
C14 Ar Excitation 13.33 eV,9.46271,2.69246e-17,385.87
C14 Ar Excitation 13.33 eV,9.84924,3.0055e-17,429.822
C14 Ar Excitation 13.33 eV,10.2604,3.32463e-17,476.149
C14 Ar Excitation 13.33 eV,10.6991,3.6488e-17,524.851
C14 Ar Excitation 13.33 eV,11.1681,3.9758e-17,575.93
C14 Ar Excitation 13.33 eV,11.6671,4.3018e-17,629.384
C14 Ar Excitation 13.33 eV,12.2021,4.62778e-17,685.214
C14 Ar Excitation 13.33 eV,12.7745,4.94984e-17,743.42
C14 Ar Excitation 13.33 eV,13.3861,5.26528e-17,804.001
C14 Ar Excitation 13.33 eV,14.0422,5.57509e-17,866.958
C14 Ar Excitation 13.33 eV,14.7433,5.8745e-17,932.291
C14 Ar Excitation 13.33 eV,15.4923,6.16273e-17,1000.0
C15 Ar Excitation 13.48 eV,2.4075,0.0,1.0
C15 Ar Excitation 13.48 eV,3.52837,9.53545e-32,2.18787
C15 Ar Excitation 13.48 eV,5.08509,2.83652e-22,5.75149
C15 Ar Excitation 13.48 eV,5.39609,3.87572e-20,11.6908
C15 Ar Excitation 13.48 eV,5.62479,3.52312e-19,20.0059
C15 Ar Excitation 13.48 eV,5.85972,1.31151e-18,30.6968
C15 Ar Excitation 13.48 eV,6.09482,3.21061e-18,43.7634
C15 Ar Excitation 13.48 eV,6.32848,6.21672e-18,59.2057
C15 Ar Excitation 13.48 eV,6.56248,1.04062e-17,77.0238
C15 Ar Excitation 13.48 eV,6.80014,1.58109e-17,97.2176
C15 Ar Excitation 13.48 eV,7.04422,2.24364e-17,119.787
C15 Ar Excitation 13.48 eV,7.29691,3.02852e-17,144.732
C15 Ar Excitation 13.48 eV,7.56043,3.9346e-17,172.054
C15 Ar Excitation 13.48 eV,7.83628,4.95897e-17,201.75
C15 Ar Excitation 13.48 eV,8.12637,6.09961e-17,233.823
C15 Ar Excitation 13.48 eV,8.43263,7.35378e-17,268.271
C15 Ar Excitation 13.48 eV,8.756,8.71982e-17,305.095
C15 Ar Excitation 13.48 eV,9.09866,1.01942e-16,344.295
C15 Ar Excitation 13.48 eV,9.46271,1.17754e-16,385.87
C15 Ar Excitation 13.48 eV,9.84924,1.34567e-16,429.822
C15 Ar Excitation 13.48 eV,10.2604,1.5235e-16,476.149
C15 Ar Excitation 13.48 eV,10.6991,1.71096e-16,524.851
C15 Ar Excitation 13.48 eV,11.1681,1.90739e-16,575.93
C15 Ar Excitation 13.48 eV,11.6671,2.11129e-16,629.384
C15 Ar Excitation 13.48 eV,12.2021,2.32345e-16,685.214
C15 Ar Excitation 13.48 eV,12.7745,2.54228e-16,743.42
C15 Ar Excitation 13.48 eV,13.3861,2.76627e-16,804.001
C15 Ar Excitation 13.48 eV,14.0422,2.99595e-16,866.958
C15 Ar Excitation 13.48 eV,14.7433,3.22913e-16,932.291
C15 Ar Excitation 13.48 eV,15.4923,3.46486e-16,1000.0
C16 Ar Excitation 13.84 eV,2.4075,0.0,1.0
C16 Ar Excitation 13.84 eV,3.52837,3.85033e-33,2.18787
C16 Ar Excitation 13.84 eV,5.08509,1.69704e-22,5.75149
C16 Ar Excitation 13.84 eV,5.39609,5.10393e-20,11.6908
C16 Ar Excitation 13.84 eV,5.62479,6.3296e-19,20.0059
C16 Ar Excitation 13.84 eV,5.85972,2.71481e-18,30.6968
C16 Ar Excitation 13.84 eV,6.09482,7.10833e-18,43.7634
C16 Ar Excitation 13.84 eV,6.32848,1.41795e-17,59.2057
C16 Ar Excitation 13.84 eV,6.56248,2.3945e-17,77.0238
C16 Ar Excitation 13.84 eV,6.80014,3.62398e-17,97.2176
C16 Ar Excitation 13.84 eV,7.04422,5.08111e-17,119.787
C16 Ar Excitation 13.84 eV,7.29691,6.7401e-17,144.732
C16 Ar Excitation 13.84 eV,7.56043,8.57305e-17,172.054
C16 Ar Excitation 13.84 eV,7.83628,1.05504e-16,201.75
C16 Ar Excitation 13.84 eV,8.12637,1.26467e-16,233.823
C16 Ar Excitation 13.84 eV,8.43263,1.48372e-16,268.271
C16 Ar Excitation 13.84 eV,8.756,1.71018e-16,305.095
C16 Ar Excitation 13.84 eV,9.09866,1.94182e-16,344.295
C16 Ar Excitation 13.84 eV,9.46271,2.17699e-16,385.87
C16 Ar Excitation 13.84 eV,9.84924,2.41326e-16,429.822
C16 Ar Excitation 13.84 eV,10.2604,2.64907e-16,476.149
C16 Ar Excitation 13.84 eV,10.6991,2.88337e-16,524.851
C16 Ar Excitation 13.84 eV,11.1681,3.11427e-16,575.93
C16 Ar Excitation 13.84 eV,11.6671,3.33866e-16,629.384
C16 Ar Excitation 13.84 eV,12.2021,3.55734e-16,685.214
C16 Ar Excitation 13.84 eV,12.7745,3.76725e-16,743.42
C16 Ar Excitation 13.84 eV,13.3861,3.96655e-16,804.001
C16 Ar Excitation 13.84 eV,14.0422,4.15634e-16,866.958
C16 Ar Excitation 13.84 eV,14.7433,4.33302e-16,932.291
C16 Ar Excitation 13.84 eV,15.4923,4.49666e-16,1000.0
C17 Ar Excitation 13.86 eV,2.4075,0.0,1.0
C17 Ar Excitation 13.86 eV,3.52837,2.23363e-37,2.18787
C17 Ar Excitation 13.86 eV,5.08509,2.60777e-26,5.75149
C17 Ar Excitation 13.86 eV,5.39609,1.49516e-23,11.6908
C17 Ar Excitation 13.86 eV,5.62479,2.93513e-22,20.0059
C17 Ar Excitation 13.86 eV,5.85972,1.78045e-21,30.6968
C17 Ar Excitation 13.86 eV,6.09482,6.15572e-21,43.7634
C17 Ar Excitation 13.86 eV,6.32848,1.55076e-20,59.2057
C17 Ar Excitation 13.86 eV,6.56248,3.20798e-20,77.0238
C17 Ar Excitation 13.86 eV,6.80014,5.81564e-20,97.2176
C17 Ar Excitation 13.86 eV,7.04422,9.59792e-20,119.787
C17 Ar Excitation 13.86 eV,7.29691,1.47796e-19,144.732
C17 Ar Excitation 13.86 eV,7.56043,2.15785e-19,172.054
C17 Ar Excitation 13.86 eV,7.83628,3.02004e-19,201.75
C17 Ar Excitation 13.86 eV,8.12637,4.08515e-19,233.823
C17 Ar Excitation 13.86 eV,8.43263,5.3732e-19,268.271
C17 Ar Excitation 13.86 eV,8.756,6.90484e-19,305.095
C17 Ar Excitation 13.86 eV,9.09866,8.6991e-19,344.295
C17 Ar Excitation 13.86 eV,9.46271,1.07764e-18,385.87
C17 Ar Excitation 13.86 eV,9.84924,1.31526e-18,429.822
C17 Ar Excitation 13.86 eV,10.2604,1.58464e-18,476.149
C17 Ar Excitation 13.86 eV,10.6991,1.88784e-18,524.851
C17 Ar Excitation 13.86 eV,11.1681,2.22632e-18,575.93
C17 Ar Excitation 13.86 eV,11.6671,2.60041e-18,629.384
C17 Ar Excitation 13.86 eV,12.2021,3.01301e-18,685.214
C17 Ar Excitation 13.86 eV,12.7745,3.4645e-18,743.42
C17 Ar Excitation 13.86 eV,13.3861,3.95349e-18,804.001
C17 Ar Excitation 13.86 eV,14.0422,4.48195e-18,866.958
C17 Ar Excitation 13.86 eV,14.7433,5.04881e-18,932.291
C17 Ar Excitation 13.86 eV,15.4923,5.65233e-18,1000.0
C18 Ar Excitation 13.90 eV,2.4075,0.0,1.0
C18 Ar Excitation 13.90 eV,3.52837,1.63481e-33,2.18787
C18 Ar Excitation 13.90 eV,5.08509,1.15535e-22,5.75149
C18 Ar Excitation 13.90 eV,5.39609,4.02506e-20,11.6908
C18 Ar Excitation 13.90 eV,5.62479,5.31186e-19,20.0059
C18 Ar Excitation 13.90 eV,5.85972,2.35263e-18,30.6968
C18 Ar Excitation 13.90 eV,6.09482,6.27789e-18,43.7634
C18 Ar Excitation 13.90 eV,6.32848,1.26781e-17,59.2057
C18 Ar Excitation 13.90 eV,6.56248,2.15947e-17,77.0238
C18 Ar Excitation 13.90 eV,6.80014,3.28905e-17,97.2176
C18 Ar Excitation 13.90 eV,7.04422,4.6339e-17,119.787
C18 Ar Excitation 13.90 eV,7.29691,6.17046e-17,144.732
C18 Ar Excitation 13.90 eV,7.56043,7.87287e-17,172.054
C18 Ar Excitation 13.90 eV,7.83628,9.71356e-17,201.75
C18 Ar Excitation 13.90 eV,8.12637,1.16687e-16,233.823
C18 Ar Excitation 13.90 eV,8.43263,1.37151e-16,268.271
C18 Ar Excitation 13.90 eV,8.756,1.58335e-16,305.095
C18 Ar Excitation 13.90 eV,9.09866,1.8003e-16,344.295
C18 Ar Excitation 13.90 eV,9.46271,2.02081e-16,385.87
C18 Ar Excitation 13.90 eV,9.84924,2.24256e-16,429.822
C18 Ar Excitation 13.90 eV,10.2604,2.46407e-16,476.149
C18 Ar Excitation 13.90 eV,10.6991,2.68437e-16,524.851
C18 Ar Excitation 13.90 eV,11.1681,2.90164e-16,575.93
C18 Ar Excitation 13.90 eV,11.6671,3.11298e-16,629.384
C18 Ar Excitation 13.90 eV,12.2021,3.3191e-16,685.214
C18 Ar Excitation 13.90 eV,12.7745,3.51712e-16,743.42
C18 Ar Excitation 13.90 eV,13.3861,3.70531e-16,804.001
C18 Ar Excitation 13.90 eV,14.0422,3.88465e-16,866.958
C18 Ar Excitation 13.90 eV,14.7433,4.05179e-16,932.291
C18 Ar Excitation 13.90 eV,15.4923,4.20675e-16,1000.0
C19 Ar Excitation 13.98 eV,2.4075,0.0,1.0
C19 Ar Excitation 13.98 eV,3.52837,4.5984e-34,2.18787
C19 Ar Excitation 13.98 eV,5.08509,6.06691e-23,5.75149
C19 Ar Excitation 13.98 eV,5.39609,2.56771e-20,11.6908
C19 Ar Excitation 13.98 eV,5.62479,3.67766e-19,20.0059
C19 Ar Excitation 13.98 eV,5.85972,1.69859e-18,30.6968
C19 Ar Excitation 13.98 eV,6.09482,4.64572e-18,43.7634
C19 Ar Excitation 13.98 eV,6.32848,9.53321e-18,59.2057
C19 Ar Excitation 13.98 eV,6.56248,1.64203e-17,77.0238
C19 Ar Excitation 13.98 eV,6.80014,2.5216e-17,97.2176
C19 Ar Excitation 13.98 eV,7.04422,3.57507e-17,119.787
C19 Ar Excitation 13.98 eV,7.29691,4.78424e-17,144.732
C19 Ar Excitation 13.98 eV,7.56043,6.12877e-17,172.054
C19 Ar Excitation 13.98 eV,7.83628,7.58677e-17,201.75
C19 Ar Excitation 13.98 eV,8.12637,9.13919e-17,233.823
C19 Ar Excitation 13.98 eV,8.43263,1.07673e-16,268.271
C19 Ar Excitation 13.98 eV,8.756,1.24556e-16,305.095
C19 Ar Excitation 13.98 eV,9.09866,1.41874e-16,344.295
C19 Ar Excitation 13.98 eV,9.46271,1.59499e-16,385.87
C19 Ar Excitation 13.98 eV,9.84924,1.77245e-16,429.822
C19 Ar Excitation 13.98 eV,10.2604,1.94992e-16,476.149
C19 Ar Excitation 13.98 eV,10.6991,2.12662e-16,524.851
C19 Ar Excitation 13.98 eV,11.1681,2.30105e-16,575.93
C19 Ar Excitation 13.98 eV,11.6671,2.47092e-16,629.384
C19 Ar Excitation 13.98 eV,12.2021,2.63677e-16,685.214
C19 Ar Excitation 13.98 eV,12.7745,2.79627e-16,743.42
C19 Ar Excitation 13.98 eV,13.3861,2.94804e-16,804.001
C19 Ar Excitation 13.98 eV,14.0422,3.09281e-16,866.958
C19 Ar Excitation 13.98 eV,14.7433,3.22793e-16,932.291
C19 Ar Excitation 13.98 eV,15.4923,3.35337e-16,1000.0
C20 Ar Excitation 14.02 eV,2.4075,0.0,1.0
C20 Ar Excitation 14.02 eV,3.52837,7.34043e-35,2.18787
C20 Ar Excitation 14.02 eV,5.08509,1.37817e-23,5.75149
C20 Ar Excitation 14.02 eV,5.39609,6.60813e-21,11.6908
C20 Ar Excitation 14.02 eV,5.62479,1.00976e-19,20.0059
C20 Ar Excitation 14.02 eV,5.85972,4.87063e-19,30.6968
C20 Ar Excitation 14.02 eV,6.09482,1.3781e-18,43.7634
C20 Ar Excitation 14.02 eV,6.32848,2.91092e-18,59.2057
C20 Ar Excitation 14.02 eV,6.56248,5.14581e-18,77.0238
C20 Ar Excitation 14.02 eV,6.80014,8.09431e-18,97.2176
C20 Ar Excitation 14.02 eV,7.04422,1.17379e-17,119.787
C20 Ar Excitation 14.02 eV,7.29691,1.60486e-17,144.732
C20 Ar Excitation 14.02 eV,7.56043,2.09856e-17,172.054
C20 Ar Excitation 14.02 eV,7.83628,2.64977e-17,201.75
C20 Ar Excitation 14.02 eV,8.12637,3.25375e-17,233.823
C20 Ar Excitation 14.02 eV,8.43263,3.90546e-17,268.271
C20 Ar Excitation 14.02 eV,8.756,4.60056e-17,305.095
C20 Ar Excitation 14.02 eV,9.09866,5.33392e-17,344.295
C20 Ar Excitation 14.02 eV,9.46271,6.10151e-17,385.87
C20 Ar Excitation 14.02 eV,9.84924,6.89672e-17,429.822
C20 Ar Excitation 14.02 eV,10.2604,7.71525e-17,476.149
C20 Ar Excitation 14.02 eV,10.6991,8.55411e-17,524.851
C20 Ar Excitation 14.02 eV,11.1681,9.40731e-17,575.93
C20 Ar Excitation 14.02 eV,11.6671,1.02653e-16,629.384
C20 Ar Excitation 14.02 eV,12.2021,1.11298e-16,685.214
C20 Ar Excitation 14.02 eV,12.7745,1.19906e-16,743.42
C20 Ar Excitation 14.02 eV,13.3861,1.28405e-16,804.001
C20 Ar Excitation 14.02 eV,14.0422,1.36809e-16,866.958
C20 Ar Excitation 14.02 eV,14.7433,1.44999e-16,932.291
C20 Ar Excitation 14.02 eV,15.4923,1.52942e-16,1000.0
C21 Ar Excitation 14.06 eV,2.4075,0.0,1.0
C21 Ar Excitation 14.06 eV,3.52837,4.96721e-35,2.18787
C21 Ar Excitation 14.06 eV,5.08509,1.36756e-23,5.75149
C21 Ar Excitation 14.06 eV,5.39609,7.39024e-21,11.6908
C21 Ar Excitation 14.06 eV,5.62479,1.18687e-19,20.0059
C21 Ar Excitation 14.06 eV,5.85972,5.87178e-19,30.6968
C21 Ar Excitation 14.06 eV,6.09482,1.68614e-18,43.7634
C21 Ar Excitation 14.06 eV,6.32848,3.59577e-18,59.2057
C21 Ar Excitation 14.06 eV,6.56248,6.39877e-18,77.0238
C21 Ar Excitation 14.06 eV,6.80014,1.01144e-17,97.2176
C21 Ar Excitation 14.06 eV,7.04422,1.4722e-17,119.787
C21 Ar Excitation 14.06 eV,7.29691,2.01879e-17,144.732
C21 Ar Excitation 14.06 eV,7.56043,2.64612e-17,172.054
C21 Ar Excitation 14.06 eV,7.83628,3.34773e-17,201.75
C21 Ar Excitation 14.06 eV,8.12637,4.11759e-17,233.823
C21 Ar Excitation 14.06 eV,8.43263,4.94928e-17,268.271
C21 Ar Excitation 14.06 eV,8.756,5.83719e-17,305.095
C21 Ar Excitation 14.06 eV,9.09866,6.77481e-17,344.295
C21 Ar Excitation 14.06 eV,9.46271,7.7569e-17,385.87
C21 Ar Excitation 14.06 eV,9.84924,8.77503e-17,429.822
C21 Ar Excitation 14.06 eV,10.2604,9.82365e-17,476.149
C21 Ar Excitation 14.06 eV,10.6991,1.08989e-16,524.851
C21 Ar Excitation 14.06 eV,11.1681,1.19931e-16,575.93
C21 Ar Excitation 14.06 eV,11.6671,1.30941e-16,629.384
C21 Ar Excitation 14.06 eV,12.2021,1.42039e-16,685.214
C21 Ar Excitation 14.06 eV,12.7745,1.53095e-16,743.42
C21 Ar Excitation 14.06 eV,13.3861,1.64016e-16,804.001
C21 Ar Excitation 14.06 eV,14.0422,1.74819e-16,866.958
C21 Ar Excitation 14.06 eV,14.7433,1.85354e-16,932.291
C21 Ar Excitation 14.06 eV,15.4923,1.95576e-16,1000.0
C22 Ar Excitation 14.09 eV,2.4075,0.0,1.0
C22 Ar Excitation 14.09 eV,3.52837,2.39308e-37,2.18787
C22 Ar Excitation 14.09 eV,5.08509,1.78999e-25,5.75149
C22 Ar Excitation 14.09 eV,5.39609,1.86948e-22,11.6908
C22 Ar Excitation 14.09 eV,5.62479,4.72945e-21,20.0059
C22 Ar Excitation 14.09 eV,5.85972,3.26912e-20,30.6968
C22 Ar Excitation 14.09 eV,6.09482,1.22204e-19,43.7634
C22 Ar Excitation 14.09 eV,6.32848,3.24149e-19,59.2057
C22 Ar Excitation 14.09 eV,6.56248,6.95501e-19,77.0238
C22 Ar Excitation 14.09 eV,6.80014,1.29558e-18,97.2176
C22 Ar Excitation 14.09 eV,7.04422,2.18345e-18,119.787
C22 Ar Excitation 14.09 eV,7.29691,3.41868e-18,144.732
C22 Ar Excitation 14.09 eV,7.56043,5.05943e-18,172.054
C22 Ar Excitation 14.09 eV,7.83628,7.16116e-18,201.75
C22 Ar Excitation 14.09 eV,8.12637,9.77935e-18,233.823
C22 Ar Excitation 14.09 eV,8.43263,1.2968e-17,268.271
C22 Ar Excitation 14.09 eV,8.756,1.67828e-17,305.095
C22 Ar Excitation 14.09 eV,9.09866,2.12751e-17,344.295
C22 Ar Excitation 14.09 eV,9.46271,2.65e-17,385.87
C22 Ar Excitation 14.09 eV,9.84924,3.25008e-17,429.822
C22 Ar Excitation 14.09 eV,10.2604,3.93288e-17,476.149
C22 Ar Excitation 14.09 eV,10.6991,4.70385e-17,524.851
C22 Ar Excitation 14.09 eV,11.1681,5.56704e-17,575.93
C22 Ar Excitation 14.09 eV,11.6671,6.52365e-17,629.384
C22 Ar Excitation 14.09 eV,12.2021,7.58128e-17,685.214
C22 Ar Excitation 14.09 eV,12.7745,8.74124e-17,743.42
C22 Ar Excitation 14.09 eV,13.3861,1.00001e-16,804.001
C22 Ar Excitation 14.09 eV,14.0422,1.13632e-16,866.958
C22 Ar Excitation 14.09 eV,14.7433,1.28278e-16,932.291
C22 Ar Excitation 14.09 eV,15.4923,1.43898e-16,1000.0
C23 Ar Excitation 14.15 eV,2.4075,0.0,1.0
C23 Ar Excitation 14.15 eV,3.52837,1.78964e-37,2.18787
C23 Ar Excitation 14.15 eV,5.08509,2.37506e-25,5.75149
C23 Ar Excitation 14.15 eV,5.39609,2.95462e-22,11.6908
C23 Ar Excitation 14.15 eV,5.62479,8.03537e-21,20.0059
C23 Ar Excitation 14.15 eV,5.85972,5.76354e-20,30.6968
C23 Ar Excitation 14.15 eV,6.09482,2.2026e-19,43.7634
C23 Ar Excitation 14.15 eV,6.32848,5.92814e-19,59.2057
C23 Ar Excitation 14.15 eV,6.56248,1.2851e-18,77.0238
C23 Ar Excitation 14.15 eV,6.80014,2.41216e-18,97.2176
C23 Ar Excitation 14.15 eV,7.04422,4.08897e-18,119.787
C23 Ar Excitation 14.15 eV,7.29691,6.43169e-18,144.732
C23 Ar Excitation 14.15 eV,7.56043,9.554e-18,172.054
C23 Ar Excitation 14.15 eV,7.83628,1.35645e-17,201.75
C23 Ar Excitation 14.15 eV,8.12637,1.85719e-17,233.823
C23 Ar Excitation 14.15 eV,8.43263,2.46822e-17,268.271
C23 Ar Excitation 14.15 eV,8.756,3.20044e-17,305.095
C23 Ar Excitation 14.15 eV,9.09866,4.06394e-17,344.295
C23 Ar Excitation 14.15 eV,9.46271,5.06952e-17,385.87
C23 Ar Excitation 14.15 eV,9.84924,6.22574e-17,429.822
C23 Ar Excitation 14.15 eV,10.2604,7.54266e-17,476.149
C23 Ar Excitation 14.15 eV,10.6991,9.03094e-17,524.851
C23 Ar Excitation 14.15 eV,11.1681,1.06986e-16,575.93
C23 Ar Excitation 14.15 eV,11.6671,1.25481e-16,629.384
C23 Ar Excitation 14.15 eV,12.2021,1.45943e-16,685.214
C23 Ar Excitation 14.15 eV,12.7745,1.68398e-16,743.42
C23 Ar Excitation 14.15 eV,13.3861,1.92782e-16,804.001
C23 Ar Excitation 14.15 eV,14.0422,2.19196e-16,866.958
C23 Ar Excitation 14.15 eV,14.7433,2.47594e-16,932.291
C23 Ar Excitation 14.15 eV,15.4923,2.77891e-16,1000.0
C24 Ar Excitation 14.21 eV,2.4075,0.0,1.0
C24 Ar Excitation 14.21 eV,3.52837,8.99274e-36,2.18787
C24 Ar Excitation 14.21 eV,5.08509,8.91e-24,5.75149
C24 Ar Excitation 14.21 eV,5.39609,7.09811e-21,11.6908
C24 Ar Excitation 14.21 eV,5.62479,1.32269e-19,20.0059
C24 Ar Excitation 14.21 eV,5.85972,6.98473e-19,30.6968
C24 Ar Excitation 14.21 eV,6.09482,2.06649e-18,43.7634
C24 Ar Excitation 14.21 eV,6.32848,4.46194e-18,59.2057
C24 Ar Excitation 14.21 eV,6.56248,7.96267e-18,77.0238
C24 Ar Excitation 14.21 eV,6.80014,1.25503e-17,97.2176
C24 Ar Excitation 14.21 eV,7.04422,1.81502e-17,119.787
C24 Ar Excitation 14.21 eV,7.29691,2.46713e-17,144.732
C24 Ar Excitation 14.21 eV,7.56043,3.20051e-17,172.054
C24 Ar Excitation 14.21 eV,7.83628,4.00323e-17,201.75
C24 Ar Excitation 14.21 eV,8.12637,4.86449e-17,233.823
C24 Ar Excitation 14.21 eV,8.43263,5.77367e-17,268.271
C24 Ar Excitation 14.21 eV,8.756,6.72158e-17,305.095
C24 Ar Excitation 14.21 eV,9.09866,7.69874e-17,344.295
C24 Ar Excitation 14.21 eV,9.46271,8.69753e-17,385.87
C24 Ar Excitation 14.21 eV,9.84924,9.70717e-17,429.822
C24 Ar Excitation 14.21 eV,10.2604,1.07206e-16,476.149
C24 Ar Excitation 14.21 eV,10.6991,1.17331e-16,524.851
C24 Ar Excitation 14.21 eV,11.1681,1.27359e-16,575.93
C24 Ar Excitation 14.21 eV,11.6671,1.37159e-16,629.384
C24 Ar Excitation 14.21 eV,12.2021,1.46757e-16,685.214
C24 Ar Excitation 14.21 eV,12.7745,1.56018e-16,743.42
C24 Ar Excitation 14.21 eV,13.3861,1.64865e-16,804.001
C24 Ar Excitation 14.21 eV,14.0422,1.73328e-16,866.958
C24 Ar Excitation 14.21 eV,14.7433,1.81262e-16,932.291
C24 Ar Excitation 14.21 eV,15.4923,1.88656e-16,1000.0
C25 Ar Excitation 14.24 eV,2.4075,0.0,1.0
C25 Ar Excitation 14.24 eV,3.52837,3.57217e-36,2.18787
C25 Ar Excitation 14.24 eV,5.08509,4.3946e-24,5.75149
C25 Ar Excitation 14.24 eV,5.39609,3.80045e-21,11.6908
C25 Ar Excitation 14.24 eV,5.62479,7.41824e-20,20.0059
C25 Ar Excitation 14.24 eV,5.85972,4.0508e-19,30.6968
C25 Ar Excitation 14.24 eV,6.09482,1.23226e-18,43.7634
C25 Ar Excitation 14.24 eV,6.32848,2.72765e-18,59.2057
C25 Ar Excitation 14.24 eV,6.56248,4.98163e-18,77.0238
C25 Ar Excitation 14.24 eV,6.80014,8.02601e-18,97.2176
C25 Ar Excitation 14.24 eV,7.04422,1.18539e-17,119.787
C25 Ar Excitation 14.24 eV,7.29691,1.64428e-17,144.732
C25 Ar Excitation 14.24 eV,7.56043,2.17532e-17,172.054
C25 Ar Excitation 14.24 eV,7.83628,2.77327e-17,201.75
C25 Ar Excitation 14.24 eV,8.12637,3.43305e-17,233.823
C25 Ar Excitation 14.24 eV,8.43263,4.14916e-17,268.271
C25 Ar Excitation 14.24 eV,8.756,4.91669e-17,305.095
C25 Ar Excitation 14.24 eV,9.09866,5.73005e-17,344.295
C25 Ar Excitation 14.24 eV,9.46271,6.58459e-17,385.87
C25 Ar Excitation 14.24 eV,9.84924,7.47293e-17,429.822
C25 Ar Excitation 14.24 eV,10.2604,8.39016e-17,476.149
C25 Ar Excitation 14.24 eV,10.6991,9.33286e-17,524.851
C25 Ar Excitation 14.24 eV,11.1681,1.02942e-16,575.93
C25 Ar Excitation 14.24 eV,11.6671,1.12636e-16,629.384
C25 Ar Excitation 14.24 eV,12.2021,1.22426e-16,685.214
C25 Ar Excitation 14.24 eV,12.7745,1.32199e-16,743.42
C25 Ar Excitation 14.24 eV,13.3861,1.41871e-16,804.001
C25 Ar Excitation 14.24 eV,14.0422,1.51455e-16,866.958
C25 Ar Excitation 14.24 eV,14.7433,1.60818e-16,932.291
C25 Ar Excitation 14.24 eV,15.4923,1.6992e-16,1000.0
C26 Ar Excitation 14.25 eV,2.4075,0.0,1.0
C26 Ar Excitation 14.25 eV,3.52837,8.54662e-39,2.18787
C26 Ar Excitation 14.25 eV,5.08509,2.81162e-26,5.75149
C26 Ar Excitation 14.25 eV,5.39609,4.67147e-23,11.6908
C26 Ar Excitation 14.25 eV,5.62479,1.43288e-21,20.0059
C26 Ar Excitation 14.25 eV,5.85972,1.09281e-20,30.6968
C26 Ar Excitation 14.25 eV,6.09482,4.33168e-20,43.7634
C26 Ar Excitation 14.25 eV,6.32848,1.19425e-19,59.2057
C26 Ar Excitation 14.25 eV,6.56248,2.63343e-19,77.0238
C26 Ar Excitation 14.25 eV,6.80014,5.0063e-19,97.2176
C26 Ar Excitation 14.25 eV,7.04422,8.57012e-19,119.787
C26 Ar Excitation 14.25 eV,7.29691,1.35855e-18,144.732
C26 Ar Excitation 14.25 eV,7.56043,2.0308e-18,172.054
C26 Ar Excitation 14.25 eV,7.83628,2.89827e-18,201.75
C26 Ar Excitation 14.25 eV,8.12637,3.98543e-18,233.823
C26 Ar Excitation 14.25 eV,8.43263,5.31623e-18,268.271
C26 Ar Excitation 14.25 eV,8.756,6.91522e-18,305.095
C26 Ar Excitation 14.25 eV,9.09866,8.80527e-18,344.295
C26 Ar Excitation 14.25 eV,9.46271,1.10107e-17,385.87
C26 Ar Excitation 14.25 eV,9.84924,1.35511e-17,429.822
C26 Ar Excitation 14.25 eV,10.2604,1.64492e-17,476.149
C26 Ar Excitation 14.25 eV,10.6991,1.97291e-17,524.851
C26 Ar Excitation 14.25 eV,11.1681,2.3409e-17,575.93
C26 Ar Excitation 14.25 eV,11.6671,2.74951e-17,629.384
C26 Ar Excitation 14.25 eV,12.2021,3.20204e-17,685.214
C26 Ar Excitation 14.25 eV,12.7745,3.69918e-17,743.42
C26 Ar Excitation 14.25 eV,13.3861,4.23951e-17,804.001
C26 Ar Excitation 14.25 eV,14.0422,4.82531e-17,866.958
C26 Ar Excitation 14.25 eV,14.7433,5.45561e-17,932.291
C26 Ar Excitation 14.25 eV,15.4923,6.12855e-17,1000.0
C27 Ar Excitation 14.30 eV,2.4075,0.0,1.0
C27 Ar Excitation 14.30 eV,3.52837,3.7279e-38,2.18787
C27 Ar Excitation 14.30 eV,5.08509,1.81838e-25,5.75149
C27 Ar Excitation 14.30 eV,5.39609,3.46965e-22,11.6908
C27 Ar Excitation 14.30 eV,5.62479,1.12796e-20,20.0059
C27 Ar Excitation 14.30 eV,5.85972,8.86135e-20,30.6968
C27 Ar Excitation 14.30 eV,6.09482,3.57502e-19,43.7634
C27 Ar Excitation 14.30 eV,6.32848,9.97135e-19,59.2057
C27 Ar Excitation 14.30 eV,6.56248,2.21678e-18,77.0238
C27 Ar Excitation 14.30 eV,6.80014,4.23961e-18,97.2176
C27 Ar Excitation 14.30 eV,7.04422,7.29111e-18,119.787
C27 Ar Excitation 14.30 eV,7.29691,1.16001e-17,144.732
C27 Ar Excitation 14.30 eV,7.56043,1.73918e-17,172.054
C27 Ar Excitation 14.30 eV,7.83628,2.4882e-17,201.75
C27 Ar Excitation 14.30 eV,8.12637,3.42871e-17,233.823
